"agencia"	"suba"	"direccion"	"reca_prom"	"nbi"	"avenida"	"escuelas"	"salud"	"supermercado"	"parada_bus"	"cantpersona"	"edad0a19"	"edad20a65"	"edad65mas"	"ocupado"	"desocupado"	"inactivo"	"Inicial"	"primario"	"egb"	"secundario"	"polimodal"	"superior"	"universitario"	"postuniversitario"	"especial"
255	16	AV. CHACO N` 1537 B` JUAN BAUTISTA ALBER	225167.611111111111	34	1	0	0	1	2	1317	466	643	24	559	51	316	48	590	72	390	20	34	26	1	8
634	0	Av. Edison  1890	948156.777777777778	34	1	1	0	0	0	1317	466	643	24	559	51	316	48	590	72	390	20	34	26	1	8
594	0	AV. CHACO  1821	1175354.444444444444	37	1	2	0	0	0	1024	328	549	19	505	40	190	35	444	50	334	14	19	23	0	8
519	0	AV. URQUIZA  2200 ESQ. FORTIN TAPENAGA	767065.944444444444	41	1	0	0	0	0	1874	586	1008	32	818	54	443	70	622	128	620	38	104	111	2	16
255	19	AV. CHACO  2390	324715.823529411765	41	1	0	0	0	0	1874	586	1008	32	818	54	443	70	622	128	620	38	104	111	2	16
244	0	AV. URQUIZA 1899	1137510.277777777778	42	1	1	0	0	0	1215	302	774	28	580	45	365	32	333	43	553	43	36	87	5	12
244	7	AV URQUIZA  1758	134989.117647058824	11	1	1	1	0	0	1546	432	939	36	645	126	424	42	511	31	569	65	81	114	2	4
630	2	AV. ARRIBALZAGA  1275	1017596.000000000000	150	1	0	0	0	0	874	375	411	5	339	19	129	59	392	17	201	10	12	5	0	1
300	0	CIPRIANO  2100	383929.312500000000	24	0	0	0	0	0	894	344	447	7	380	18	133	57	294	41	243	7	51	59	2	1
594	2	Av. Chaco  2637	312918.272727272727	166	1	0	0	0	0	994	347	500	80	360	39	160	33	431	19	237	29	12	17	0	4
637	3	AV. NICOLAS ROJAS ACOSTA  499	540767.066666666667	50	0	0	0	0	0	1842	673	840	20	664	53	503	79	788	47	664	14	37	37	0	16
597	1	AV. NICOLAS ROJAS ACOSTA  1120	311804.777777777778	50	0	0	0	0	0	1842	673	840	20	664	53	503	79	788	47	664	14	37	37	0	16
651	2	AV. NICOLAS ROJAS ACOSTA  499	562282.666666666667	50	0	0	0	0	0	1842	673	840	20	664	53	503	79	788	47	664	14	37	37	0	16
311	2	AV. BELGRANO 2700	165474.388888888889	49	1	1	0	0	0	673	217	372	18	328	6	148	24	249	16	234	15	17	40	2	4
420	0	MARTÍN LESTANI  2499  V°. BARBERÁN	990724.500000000000	93	0	0	0	0	0	917	326	454	21	372	25	163	56	408	31	260	16	19	16	0	4
351	3	MARTIN LESTANI  2499 - Vª BARBERAN	84080.888888888889	93	0	0	0	0	0	917	326	454	21	372	25	163	56	408	31	260	16	19	16	0	4
597	3	LESTANI  897 - VILLA PROSPERIDAD	69273.222222222222	93	0	0	0	0	0	917	326	454	21	372	25	163	56	408	31	260	16	19	16	0	4
447	0	CARACAS MZ. 19 - PC. 05 - BARRIO VIAL	579358.222222222222	4	0	0	0	0	0	1070	321	565	17	480	26	209	54	189	118	326	49	125	131	8	4
437	3	Pje. Laguna del Desierto  3777	67215.666666666667	5	0	0	0	0	0	1574	370	1064	13	476	26	160	60	629	64	529	43	34	82	1	6
330	7	CALLE JEREMIAS  2155 (MZ 44 PC 08) Bº	124328.000000000000	8	0	0	0	0	1	1230	316	752	48	616	49	330	32	276	83	421	73	125	144	2	9
357	1	AV. BOGOTA  1165 (CH. 133 - PC. 36 - C	261339.444444444444	128	1	1	0	0	0	1064	434	485	8	343	43	248	53	459	32	296	13	9	20	0	10
165	2	AV.MAC LEAN 360	530959.611111111111	128	1	0	0	0	0	1064	434	485	8	343	43	248	53	459	32	296	13	9	20	0	10
579	2	AV. MAC LEAN  2134	485676.214285714286	128	1	0	0	0	0	1064	434	485	8	343	43	248	53	459	32	296	13	9	20	0	10
330	9	AV. MAC LEAN  1850	182189.166666666667	128	1	0	0	0	0	1064	434	485	8	343	43	248	53	459	32	296	13	9	20	0	10
330	6	MONTEVIDEO  1250	145447.222222222222	86	0	0	0	0	0	830	298	405	9	318	37	174	35	321	59	242	24	19	12	0	11
